namespace,bus_context,slave,range_start,range_end,fc03,fc06,fc10,ram_base,role,write_risk,confidence,notes
WARMLINK63:SVC8001,USART1 Warmlink/LTE service dispatcher,0x63,8001,8090,yes,yes,yes,0x20015EF0,Warmlink-specific hidden service/status window,high,confirmed,"Distinct from ENG:CTRL:8801-8820. Several 800x fields mirror into MAIN:2151-2158; register8006 has change-detection/timer logic"
WARMLINK63:ENG8801,USART1 Warmlink/LTE service dispatcher,0x63,8801,8820,no,no,no,n/a,Not present in normal Warmlink 0x63 dispatcher,unknown,static_and_live_confirmed,"FC03 on 8801 timed out exactly as static dispatcher predicts. FC16 ACK was observed experimentally but direct User-Modbus 8801 did not show a proven apply; ACK source/meaning remains open and must not be treated as successful ENG:CTRL write"
INV1:TX,USART3 internal board bus,0x01,1999,2014,n/a,n/a,Mainboard_master_FC10,0x2001232C,Inverter/compressor/fan command block,n/a,confirmed,"H33=0 qty5; H33=1 qty16"
INV1:RX,USART3 internal board bus,0x01,2099,2149,Mainboard_master_FC03,n/a,n/a,RX_to_0x200168C4,Inverter/compressor/fan telemetry,n/a,confirmed,"H33=0 qty22; H33=1 qty51"
FAN4,USART3 internal board bus,0x04,1011,1024,Mainboard_master_FC03,n/a,n/a,RX_to_0x2001691C,Separate external fan motor driver,n/a,confirmed,"Polled even in integrated H33 configuration; no response in examined real capture"
HMI3,USART3 internal board bus,0x03,3001,3021,Mainboard_master_FC03,n/a,n/a,0x20012660,DWIN/wire-controller HMI,n/a,confirmed,"Active response observed"
HMI2,USART3 internal board bus,0x02,3001,3021,Mainboard_master_FC03,n/a,n/a,0x20012660,Optional second HMI/controller,n/a,very_likely,"Same request class as Unit 0x03"
HYD5:TX,USART3 internal board bus,0x05,1001,1090,n/a,n/a,Mainboard_master_FC10,0x20012390,Hydraulic/extension module command block,n/a,confirmed,"Selected when H30 != 3"
HYD5:RX,USART3 internal board bus,0x05,2000,2089,Mainboard_master_FC03,n/a,n/a,0x20012444,Hydraulic/extension module telemetry block,n/a,confirmed,"Selected when H30 != 3"
HYD61:TX,USART3 internal board bus,0x61,1001,1090,n/a,n/a,Mainboard_master_FC10,0x200124F8,Alternative hydraulic module command block,n/a,confirmed,"Selected when H30 == 3"
HYD61:RX,USART3 internal board bus,0x61,2001,2090,Mainboard_master_FC03,n/a,n/a,0x200125AC,Alternative hydraulic module telemetry block,n/a,confirmed,"Selected when H30 == 3"
OTA63,USART1 Warmlink/service path,0x63,0xC000,0xCFFF,special,special,special,separate_OTA_state,OTA/IAP/service protocol,very_high,confirmed,"Special Cxxx handlers share the 0x63 service dispatcher but remain a separate OTA namespace"
